ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:1784(tree_any)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_ops.py:1083(<lambda>)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\grad_mode.py:75(__init__)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\uuid.py:267(_from_int)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_ops.py:1081(_must_dispatch_in_python)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\grad_mode.py:84(__exit__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_contextlib.py:167(__new__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\grad_mode.py:80(__enter__)
4,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\torch\_ops.py:1031(__call__)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_ops.py:1197(__call__)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\grad_mode.py:184(__init__)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\uuid.py:335(bytes)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\uuid.py:398(hex)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\profiler.py:787(__init__)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\autograd\profiler.py:800(__enter__)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\uuid.py:774(uuid4)
118,0.001,0.000,3.790,0.032,C:\Python314\Lib\site-packages\torch\nn\modules\conv.py:552(forward)
6,0.000,0.000,0.035,0.006,C:\Python314\Lib\site-packages\torch\nn\modules\pixelshuffle.py:58(forward)
6,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\torch\nn\modules\dropout.py:172(forward)
112,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\backends\__init__.py:41(__get__)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\jit\__init__.py:129(annotate)
8,0.000,0.000,0.000,0.000,C:\Python314\Lib\email\utils.py:268(format_datetime)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\jit\_trace.py:1255(is_tracing)
8,0.000,0.000,0.001,0.000,C:\Python314\Lib\email\utils.py:239(formatdate)
8,0.000,0.000,0.000,0.000,C:\Python314\Lib\email\utils.py:230(_format_timetuple_and_zone)
2,0.000,0.000,0.003,0.002,C:\Python314\Lib\site-packages\PIL\Image.py:3121(frombytes)
20,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3053(_check_size)
